buying_format,category,item_custom_info,item_url,thumbnail_url,title
auction,"{'cat1_name': 'Farming', 'cat1_id': 'Farming', 'cat2_name': 'Tractor', 'cat2_id': 'Tractor', 'cat_name': 'Farm Tractor', 'cat3_id': 'Farm Tractor'}",{'desc': ''},https://www.agriaffaires.us/auction/farm-tractors/41240036/massey-ferguson-135.html,//d22dk94hfc1k6q.cloudfront.net/none/220-160/337957/41240036/41240036_1617144873_961.jpg,Massey Ferguson 135
sale,"{'cat1_name': 'Farming', 'cat1_id': 'Farming', 'cat2_name': 'Tractor', 'cat2_id': 'Tractor', 'cat_name': 'Farm Tractor', 'cat3_id': 'Farm Tractor'}",{'desc': ''},https://www.agriaffaires.us/used/farm-tractors/41239960/john-deere-850.html,//d22dk94hfc1k6q.cloudfront.net/none/220-160/444618/41239960/41239960_1617144774_135.jpg,John Deere 850
sale,"{'cat1_name': 'Farming', 'cat1_id': 'Farming', 'cat2_name': 'Tractor', 'cat2_id': 'Tractor', 'cat_name': 'Farm Tractor', 'cat3_id': 'Farm Tractor'}",{'desc': ''},https://www.agriaffaires.us/used/farm-tractors/41239957/kubota-lx2610hsd.html,//d22dk94hfc1k6q.cloudfront.net/none/220-160/444618/41239957/41239957_1617144769_35.jpg,Kubota LX2610HSD
sale,"{'cat1_name': 'Farming', 'cat1_id': 'Farming', 'cat2_name': 'Tractor', 'cat2_id': 'Tractor', 'cat_name': 'Farm Tractor', 'cat3_id': 'Farm Tractor'}",{'desc': ''},https://www.agriaffaires.us/used/farm-tractors/41239951/kubota-l2501dt.html,//d22dk94hfc1k6q.cloudfront.net/none/220-160/444618/41239951/41239951_1617144764_387.jpg,Kubota L2501DT
auction,"{'cat1_name': 'Farming', 'cat1_id': 'Farming', 'cat2_name': 'Tractor', 'cat2_id': 'Tractor', 'cat_name': 'Farm Tractor', 'cat3_id': 'Farm Tractor'}",{'desc': ''},https://www.agriaffaires.us/auction/farm-tractors/41235605/john-deere-5101en.html,//d22dk94hfc1k6q.cloudfront.net/none/220-160/337957/41235605/41235605_1617103098_577.jpg,John Deere 5101EN
auction,"{'cat1_name': 'Farming', 'cat1_id': 'Farming', 'cat2_name': 'Tractor', 'cat2_id': 'Tractor', 'cat_name': 'Farm Tractor', 'cat3_id': 'Farm Tractor'}",{'desc': ''},https://www.agriaffaires.us/auction/farm-tractors/41235604/case-ih-5240.html,//d22dk94hfc1k6q.cloudfront.net/none/220-160/337957/41235604/41235604_1617103095_373.jpg,Case IH 5240
auction,"{'cat1_name': 'Farming', 'cat1_id': 'Farming', 'cat2_name': 'Tractor', 'cat2_id': 'Tractor', 'cat_name': 'Farm Tractor', 'cat3_id': 'Farm Tractor'}",{'desc': ''},https://www.agriaffaires.us/auction/farm-tractors/41235432/ford-600.html,//d22dk94hfc1k6q.cloudfront.net/none/220-160/337957/41235432/41235432_1617102774_391.jpg,Ford 600
auction,"{'cat1_name': 'Farming', 'cat1_id': 'Farming', 'cat2_name': 'Tractor', 'cat2_id': 'Tractor', 'cat_name': 'Farm Tractor', 'cat3_id': 'Farm Tractor'}",{'desc': ''},https://www.agriaffaires.us/auction/farm-tractors/41235198/john-deere-5100e.html,//d22dk94hfc1k6q.cloudfront.net/none/220-160/337957/41235198/41235198_1617102292_544.jpg,John Deere 5100E
auction,"{'cat1_name': 'Farming', 'cat1_id': 'Farming', 'cat2_name': 'Tractor', 'cat2_id': 'Tractor', 'cat_name': 'Farm Tractor', 'cat3_id': 'Farm Tractor'}",{'desc': ''},https://www.agriaffaires.us/auction/farm-tractors/41233233/john-deere-401cd.html,//d22dk94hfc1k6q.cloudfront.net/none/220-160/337957/41233233/41233233_1617098904_800.jpg,John Deere 401CD
auction,"{'cat1_name': 'Farming', 'cat1_id': 'Farming', 'cat2_name': 'Tractor', 'cat2_id': 'Tractor', 'cat_name': 'Farm Tractor', 'cat3_id': 'Farm Tractor'}",{'desc': ''},https://www.agriaffaires.us/auction/farm-tractors/41232579/john-deere-9520.html,//d22dk94hfc1k6q.cloudfront.net/none/220-160/337957/41232579/41232579_1617097579_96.jpg,John Deere 9520
auction,"{'cat1_name': 'Farming', 'cat1_id': 'Farming', 'cat2_name': 'Tractor', 'cat2_id': 'Tractor', 'cat_name': 'Farm Tractor', 'cat3_id': 'Farm Tractor'}",{'desc': ''},https://www.agriaffaires.us/auction/farm-tractors/41231618/john-deere-8440.html,//d22dk94hfc1k6q.cloudfront.net/none/220-160/337957/41231618/41231618_1617095836_253.jpg,John Deere 8440
auction,"{'cat1_name': 'Farming', 'cat1_id': 'Farming', 'cat2_name': 'Tractor', 'cat2_id': 'Tractor', 'cat_name': 'Farm Tractor', 'cat3_id': 'Farm Tractor'}",{'desc': ''},https://www.agriaffaires.us/auction/farm-tractors/41226734/massey-ferguson-35.html,//d22dk94hfc1k6q.cloudfront.net/none/220-160/337957/41226734/41226734_1617086093_246.jpg,Massey Ferguson 35
auction,"{'cat1_name': 'Farming', 'cat1_id': 'Farming', 'cat2_name': 'Tractor', 'cat2_id': 'Tractor', 'cat_name': 'Farm Tractor', 'cat3_id': 'Farm Tractor'}",{'desc': ''},https://www.agriaffaires.us/auction/farm-tractors/41226271/massey-ferguson-265.html,//d22dk94hfc1k6q.cloudfront.net/none/220-160/337957/41226271/41226271_1617085203_971.jpg,Massey Ferguson 265
