auction_ending,buying_format,country,currency,details,extra_fields,img_url,item_category,item_main_category,item_main_category_id,item_source_category_id,item_source_sub_category_id,item_sub_category,item_title,item_url,location,make,model,price,price_original,serial_number,source_item_id,state,thumbnail_s3_path,thumbnail_url,vendor_address,vendor_address2,vendor_categories,vendor_city,vendor_comments,vendor_contact,vendor_contact2,vendor_contact2_designation,vendor_contact_designation,vendor_contact_url,vendor_country,vendor_email,vendor_email1,vendor_email2,vendor_email3,vendor_facebook,vendor_fax,vendor_linkedin,vendor_location,vendor_logo_url,vendor_manufacturers,vendor_name,vendor_phone,vendor_phone2,vendor_services,vendor_skype,vendor_state,vendor_twitter,vendor_url,vendor_website,vendor_zipcode,year
,sale,USA,,,,"//d22dk94hfc1k6q.cloudfront.net/pa/750-560/318385/41209571/41209571_1616802790_897.jpg,//d22dk94hfc1k6q.cloudfront.net/pa/750-560/318385/41209571/41209571_1616802790_138.jpg,//d22dk94hfc1k6q.cloudfront.net/pa/750-560/318385/41209571/41209571_1616802790_7.jpg,//d22dk94hfc1k6q.cloudfront.net/pa/750-560/318385/41209571/41209571_1616802790_894.jpg,//d22dk94hfc1k6q.cloudfront.net/pa/750-560/318385/41209571/41209571_1616802790_569.jpg,//d22dk94hfc1k6q.cloudfront.net/pa/750-560/318385/41209571/41209571_1616802790_326.jpg,//d22dk94hfc1k6q.cloudfront.net/pa/750-560/318385/41209571/41209571_1616802790_343.jpg,//d22dk94hfc1k6q.cloudfront.net/pa/750-560/318385/41209571/41209571_1616802790_579.jpg",Tractor,Farming,Farming,Tractor,Farm Tractor,Farm Tractor,John Deere 9510R,https://www.agriaffaires.us/used/farm-tractors/41209571/john-deere-9510r.html,USA,John Deere,9510R,,,,,,,//d22dk94hfc1k6q.cloudfront.net/none/220-160/318385/41209571/41209571_1616802790_897.jpg,,,,,,,,,,,,,,,,,,,USA,,,Titan Machinery,,,,,,,,,,2012
,sale,USA,,,,"//d22dk94hfc1k6q.cloudfront.net/pa/750-560/227841/41209530/41209530_1616716008_454.jpg,//d22dk94hfc1k6q.cloudfront.net/pa/750-560/227841/41209530/41209530_1616716008_106.jpg,//d22dk94hfc1k6q.cloudfront.net/pa/750-560/227841/41209530/41209530_1616716008_119.jpg,//d22dk94hfc1k6q.cloudfront.net/pa/750-560/227841/41209530/41209530_1616716008_88.jpg",Tractor,Farming,Farming,Tractor,Farm Tractor,Farm Tractor,Kubota L2501HST,https://www.agriaffaires.us/new/farm-tractors/41209530/kubota-l2501hst.html,USA,Kubota,L2501HST,,,,,,,//d22dk94hfc1k6q.cloudfront.net/none/220-160/227841/41209530/41209530_1616716008_454.jpg,,,,,,,,,,,,,,,,,,,USA,,,New Tec Inc,,,,,,,,,,2021
,sale,USA,,,,"//d22dk94hfc1k6q.cloudfront.net/pa/750-560/318385/41209590/41209590_1616802794_538.jpg,//d22dk94hfc1k6q.cloudfront.net/pa/750-560/318385/41209590/41209590_1616802794_862.jpg,//d22dk94hfc1k6q.cloudfront.net/pa/750-560/318385/41209590/41209590_1616802794_112.jpg,//d22dk94hfc1k6q.cloudfront.net/pa/750-560/318385/41209590/41209590_1616802794_577.jpg,//d22dk94hfc1k6q.cloudfront.net/pa/750-560/318385/41209590/41209590_1616802794_527.jpg,//d22dk94hfc1k6q.cloudfront.net/pa/750-560/318385/41209590/41209590_1616802794_761.jpg,//d22dk94hfc1k6q.cloudfront.net/pa/750-560/318385/41209590/41209590_1616802794_552.jpg,//d22dk94hfc1k6q.cloudfront.net/pa/750-560/318385/41209590/41209590_1616802794_710.jpg,//d22dk94hfc1k6q.cloudfront.net/pa/750-560/318385/41209590/41209590_1616802794_308.jpg",Tractor,Farming,Farming,Tractor,Farm Tractor,Farm Tractor,New Holland T7.260,https://www.agriaffaires.us/used/farm-tractors/41209590/new-holland-t7-260.html,USA,New Holland,T7.260,,,,,,,//d22dk94hfc1k6q.cloudfront.net/none/220-160/318385/41209590/41209590_1616802794_538.jpg,,,,,,,,,,,,,,,,,,,USA,,,Titan Machinery,,,,,,,,,,2012
,sale,USA,,,,,Tractor,Farming,Farming,Tractor,Farm Tractor,Farm Tractor,Case IH MX245,https://www.agriaffaires.us/used/farm-tractors/41209573/case-ih-mx245.html,USA,Case IH,MX245,,,,,,,nan,,,,,,,,,,,,,,,,,,,USA,,,Titan Machinery,,,,,,,,,,2006
,sale,USA,,,,,Tractor,Farming,Farming,Tractor,Farm Tractor,Farm Tractor,Case IH 7130,https://www.agriaffaires.us/used/farm-tractors/41212286/case-ih-7130.html,USA,Case IH,7130,,,,,,,nan,,,,,,,,,,,,,,,,,,,USA,,,Titan Machinery,,,,,,,,,,1993
,sale,USA,,,,,Tractor,Farming,Farming,Tractor,Farm Tractor,Farm Tractor,Case IH 7240,https://www.agriaffaires.us/used/farm-tractors/41212292/case-ih-7240.html,USA,Case IH,7240,,,,,,,nan,,,,,,,,,,,,,,,,,,,USA,,,Titan Machinery,,,,,,,,,,1996
,sale,USA,,,,,Tractor,Farming,Farming,Tractor,Farm Tractor,Farm Tractor,Case IH MX270,https://www.agriaffaires.us/used/farm-tractors/41212287/case-ih-mx270.html,USA,Case IH,MX270,,,,,,,nan,,,,,,,,,,,,,,,,,,,USA,,,Titan Machinery,,,,,,,,,,1999
,sale,USA,,,,,Tractor,Farming,Farming,Tractor,Farm Tractor,Farm Tractor,Case IH DX40,https://www.agriaffaires.us/used/farm-tractors/41212289/case-ih-dx40.html,USA,Case IH,DX40,,,,,,,nan,,,,,,,,,,,,,,,,,,,USA,,,Titan Machinery,,,,,,,,,,2007
,sale,USA,,,,"//d22dk94hfc1k6q.cloudfront.net/pa/750-560/346735/41166460/41166460_1616197781_154.jpg,//d22dk94hfc1k6q.cloudfront.net/pa/750-560/346735/41166460/41166460_1616197781_353.jpg,//d22dk94hfc1k6q.cloudfront.net/pa/750-560/346735/41166460/41166460_1616197781_315.jpg,//d22dk94hfc1k6q.cloudfront.net/pa/750-560/346735/41166460/41166460_1616197781_4.jpg,//d22dk94hfc1k6q.cloudfront.net/pa/750-560/346735/41166460/41166460_1616197781_531.jpg,//d22dk94hfc1k6q.cloudfront.net/pa/750-560/346735/41166460/41166460_1616197781_241.jpg,//d22dk94hfc1k6q.cloudfront.net/pa/750-560/346735/41166460/41166460_1616197781_169.jpg,//d22dk94hfc1k6q.cloudfront.net/pa/750-560/346735/41166460/41166460_1616197781_63.jpg,//d22dk94hfc1k6q.cloudfront.net/pa/750-560/346735/41166460/41166460_1616197781_363.jpg",Tractor,Farming,Farming,Tractor,Farm Tractor,Farm Tractor,John Deere 9530,https://www.agriaffaires.us/used/farm-tractors/41166460/john-deere-9530.html,USA,John Deere,9530,,,,,,,//d22dk94hfc1k6q.cloudfront.net/none/220-160/346735/41166460/41166460_1616197781_154.jpg,,,,,,,,,,,,,,,,,,,USA,,,"Cole Equipment, Inc.",,,,,,,,,,
,sale,USA,,,,"//d22dk94hfc1k6q.cloudfront.net/pa/750-560/618064/41212917/41212917_1616826771_287.jpg,//d22dk94hfc1k6q.cloudfront.net/pa/750-560/618064/41212917/41212917_1616826771_240.jpg,//d22dk94hfc1k6q.cloudfront.net/pa/750-560/618064/41212917/41212917_1616826771_709.jpg,//d22dk94hfc1k6q.cloudfront.net/pa/750-560/618064/41212917/41212917_1616826771_197.jpg,//d22dk94hfc1k6q.cloudfront.net/pa/750-560/618064/41212917/41212917_1616826771_383.jpg,//d22dk94hfc1k6q.cloudfront.net/pa/750-560/618064/41212917/41212917_1616826771_564.jpg",Tractor,Farming,Farming,Tractor,Farm Tractor,Farm Tractor,John Deere 7230R,https://www.agriaffaires.us/used/farm-tractors/41212917/john-deere-7230r.html,USA,John Deere,7230R,,,,,,,//d22dk94hfc1k6q.cloudfront.net/none/220-160/618064/41212917/41212917_1616826771_287.jpg,,,,,,,,,,,,,,,,,,,USA,,,Select Vehicle Marketing,,,,,,,,,,2011
